sample,day,plenum_1,plenum_2,plenum_3,deepest ,deep_2  ,deep_3  ,midlevel,shallow ,surface ,coldcap 
479,2,462,1180,1200,1180,865,654,409,1020,1150,531
480,2,462,1180,1210,1170,848,776,415,1010,1120,534
481,2,453,1180,1210,1170,819,857,418,1010,1080,537
482,2,450,1180,1210,1170,876,822,418,1010,1110,540
483,2,457,1180,1210,1170,927,695,414,1020,1100,541
484,2,465,1180,1210,1180,928,650,417,1020,1110,538
485,2,472,1190,1210,1180,937,665,412,1020,1120,533
486,2,474,1190,1210,1190,1040,609,406,1020,1110,530
487,2,479,1190,1210,1190,942,610,400,1020,1130,529
488,2,480,1190,1210,1190,923,558,400,1020,1140,528
489,2,515,1190,1210,1190,976,561,398,1020,1150,527
490,2,528,1190,1210,1200,952,585,401,1020,1150,525
491,2,518,1190,1210,1190,943,627,397,1020,1140,515
492,2,511,1190,1210,1180,1010,625,395,1010,1160,493
493,2,512,1190,1210,1180,991,621,392,1010,1150,474
494,2,498,1180,1210,1180,1010,628,392,1010,1170,458
495,2,498,1180,1210,1180,1010,607,386,1010,1140,455
496,2,502,1180,1210,1180,1000,576,389,1010,1120,456
497,2,496,1180,1210,1180,1020,602,397,1000,1090,459
498,2,506,1180,1210,1180,1030,589,406,998,1110,389
499,2,528,1180,1210,1190,993,574,409,995,1100,332
500,2,594,1180,1210,1200,828,575,405,996,1090,377
